Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd]
2019;03;25;00;00;12.07
2019;03;25;01;00;11.14
2019;03;25;02;00;10.65
2019;03;25;03;00;10.07
2019;03;25;04;00;9.29
2019;03;25;05;00;8.80
2019;03;25;06;00;8.69
2019;03;25;07;00;8.56
2019;03;25;08;00;8.91
2019;03;25;09;00;9.03
2019;03;25;10;00;10.15
2019;03;25;11;00;10.79
2019;03;25;12;00;11.61
2019;03;25;13;00;12.26
2019;03;25;14;00;12.69
2019;03;25;15;00;12.63
2019;03;25;16;00;12.40
2019;03;25;17;00;11.40
2019;03;25;18;00;9.68
2019;03;25;19;00;8.44
2019;03;25;20;00;7.46
2019;03;25;21;00;6.17
2019;03;25;22;00;5.49
2019;03;25;23;00;5.29
2019;03;26;00;00;5.02
2019;03;26;01;00;4.77
2019;03;26;02;00;4.46
2019;03;26;03;00;4.15
2019;03;26;04;00;3.28
2019;03;26;05;00;2.38
2019;03;26;06;00;1.75
2019;03;26;07;00;1.45
2019;03;26;08;00;2.24
2019;03;26;09;00;4.00
2019;03;26;10;00;5.71
2019;03;26;11;00;7.37
2019;03;26;12;00;8.70
2019;03;26;13;00;9.94
2019;03;26;14;00;11.10
2019;03;26;15;00;11.64
2019;03;26;16;00;11.98
2019;03;26;17;00;11.94
2019;03;26;18;00;11.43
2019;03;26;19;00;10.45
2019;03;26;20;00;9.27
2019;03;26;21;00;8.87
2019;03;26;22;00;7.60
2019;03;26;23;00;6.55
2019;03;27;00;00;6.54
2019;03;27;01;00;5.86
2019;03;27;02;00;6.13
2019;03;27;03;00;5.93
2019;03;27;04;00;6.04
2019;03;27;05;00;5.59
2019;03;27;06;00;5.07
2019;03;27;07;00;4.53
2019;03;27;08;00;5.11
2019;03;27;09;00;6.16
2019;03;27;10;00;7.39
2019;03;27;11;00;8.62
2019;03;27;12;00;9.64
2019;03;27;13;00;9.65
2019;03;27;14;00;10.69
2019;03;27;15;00;11.05
2019;03;27;16;00;11.12
2019;03;27;17;00;10.80
2019;03;27;18;00;10.89
2019;03;27;19;00;10.40
2019;03;27;20;00;9.70
2019;03;27;21;00;9.15
2019;03;27;22;00;8.53
2019;03;27;23;00;7.30
2019;03;28;00;00;6.13
2019;03;28;01;00;5.73
2019;03;28;02;00;5.40
2019;03;28;03;00;5.22
2019;03;28;04;00;5.06
2019;03;28;05;00;5.11
2019;03;28;06;00;5.32
2019;03;28;07;00;5.51
2019;03;28;08;00;6.91
2019;03;28;09;00;8.92
2019;03;28;10;00;9.60
2019;03;28;11;00;11.13
2019;03;28;12;00;11.13
2019;03;28;13;00;12.63
2019;03;28;14;00;13.15
2019;03;28;15;00;13.38
2019;03;28;16;00;13.19
2019;03;28;17;00;13.34
2019;03;28;18;00;13.15
2019;03;28;19;00;12.34
2019;03;28;20;00;11.29
2019;03;28;21;00;11.14
2019;03;28;22;00;10.94
2019;03;28;23;00;10.50
2019;03;29;00;00;9.93
2019;03;29;01;00;9.63
2019;03;29;02;00;8.64
2019;03;29;03;00;8.01
2019;03;29;04;00;7.48
2019;03;29;05;00;7.05
2019;03;29;06;00;6.72
2019;03;29;07;00;6.56
2019;03;29;08;00;7.25
2019;03;29;09;00;8.29
2019;03;29;10;00;9.46
2019;03;29;11;00;9.97
2019;03;29;12;00;10.83
2019;03;29;13;00;11.80
2019;03;29;14;00;14.06
2019;03;29;15;00;14.71
2019;03;29;16;00;15.11
2019;03;29;17;00;15.21
2019;03;29;18;00;15.04
2019;03;29;19;00;14.28
2019;03;29;20;00;13.77
2019;03;29;21;00;13.43
2019;03;29;22;00;12.86
2019;03;29;23;00;12.33
2019;03;30;00;00;11.93
2019;03;30;01;00;11.42
2019;03;30;02;00;10.69
2019;03;30;03;00;9.99
2019;03;30;04;00;9.17
2019;03;30;05;00;8.19
2019;03;30;06;00;7.53
2019;03;30;07;00;7.06
2019;03;30;08;00;7.25
2019;03;30;09;00;8.85
2019;03;30;10;00;10.88
2019;03;30;11;00;12.96
2019;03;30;12;00;14.39
2019;03;30;13;00;15.47
2019;03;30;14;00;16.32
2019;03;30;15;00;17.02
2019;03;30;16;00;17.29
2019;03;30;17;00;17.35
2019;03;30;18;00;17.23
2019;03;30;19;00;16.28
2019;03;30;20;00;15.42
2019;03;30;21;00;14.23
2019;03;30;22;00;12.58
2019;03;30;23;00;11.32
2019;03;31;00;00;10.23
2019;03;31;01;00;9.18
2019;03;31;02;00;8.43
2019;03;31;03;00;8.49
2019;03;31;04;00;9.28
2019;03;31;05;00;9.89
2019;03;31;06;00;9.59
2019;03;31;07;00;7.73
2019;03;31;08;00;9.29
2019;03;31;09;00;11.76
2019;03;31;10;00;14.11
2019;03;31;11;00;16.24
2019;03;31;12;00;17.74
2019;03;31;13;00;18.62
2019;03;31;14;00;18.93
2019;03;31;15;00;19.50
2019;03;31;16;00;19.69
2019;03;31;17;00;19.49
2019;03;31;18;00;19.03
2019;03;31;19;00;18.30
2019;03;31;20;00;17.49
2019;03;31;21;00;16.16
2019;03;31;22;00;15.46
2019;03;31;23;00;13.55
2019;04;01;00;00;12.20
2019;04;01;01;00;11.23
2019;04;01;02;00;10.39
2019;04;01;03;00;9.46
2019;04;01;04;00;8.48
2019;04;01;05;00;7.55
2019;04;01;06;00;6.65
2019;04;01;07;00;5.98
2019;04;01;08;00;6.60
2019;04;01;09;00;7.95
2019;04;01;10;00;9.81
2019;04;01;11;00;11.65
2019;04;01;12;00;12.95
2019;04;01;13;00;13.85
2019;04;01;14;00;15.07
2019;04;01;15;00;15.53
2019;04;01;16;00;15.60
2019;04;01;17;00;15.39
2019;04;01;18;00;14.86
2019;04;01;19;00;13.78
2019;04;01;20;00;12.19
2019;04;01;21;00;10.63
2019;04;01;22;00;9.35
2019;04;01;23;00;8.34
2019;04;02;00;00;7.86
2019;04;02;01;00;7.88
2019;04;02;02;00;7.95
2019;04;02;03;00;7.26
2019;04;02;04;00;6.54
2019;04;02;05;00;5.45
2019;04;02;06;00;4.71
2019;04;02;07;00;4.49
2019;04;02;08;00;5.50
2019;04;02;09;00;6.96
2019;04;02;10;00;8.89
2019;04;02;11;00;10.79
2019;04;02;12;00;12.75
2019;04;02;13;00;14.45
2019;04;02;14;00;16.40
2019;04;02;15;00;17.39
2019;04;02;16;00;17.95
2019;04;02;17;00;18.16
2019;04;02;18;00;18.04
2019;04;02;19;00;17.23
2019;04;02;20;00;15.28
2019;04;02;21;00;13.43
2019;04;02;22;00;12.11
2019;04;02;23;00;10.95
2019;04;03;00;00;10.02
2019;04;03;01;00;9.28
2019;04;03;02;00;8.74
2019;04;03;03;00;8.15
2019;04;03;04;00;8.26
2019;04;03;05;00;8.41
2019;04;03;06;00;8.53
2019;04;03;07;00;8.70
2019;04;03;08;00;10.51
2019;04;03;09;00;10.62
2019;04;03;10;00;12.10
2019;04;03;11;00;13.74
2019;04;03;12;00;15.43
2019;04;03;13;00;16.58
2019;04;03;14;00;19.72
2019;04;03;15;00;19.90
2019;04;03;16;00;19.10
2019;04;03;17;00;19.25
2019;04;03;18;00;18.62
2019;04;03;19;00;17.52
2019;04;03;20;00;15.72
2019;04;03;21;00;14.54
2019;04;03;22;00;13.49
2019;04;03;23;00;12.74
2019;04;04;00;00;11.83
2019;04;04;01;00;10.79
2019;04;04;02;00;9.73
2019;04;04;03;00;8.57
2019;04;04;04;00;7.61
2019;04;04;05;00;7.20
2019;04;04;06;00;6.85
2019;04;04;07;00;6.81
2019;04;04;08;00;8.97
2019;04;04;09;00;11.50
2019;04;04;10;00;13.67
2019;04;04;11;00;15.54
2019;04;04;12;00;17.04
2019;04;04;13;00;18.20
2019;04;04;14;00;18.41
2019;04;04;15;00;18.72
2019;04;04;16;00;18.72
2019;04;04;17;00;18.45
2019;04;04;18;00;17.99
2019;04;04;19;00;17.12
2019;04;04;20;00;15.78
2019;04;04;21;00;14.49
2019;04;04;22;00;13.08
2019;04;04;23;00;11.66
2019;04;05;00;00;10.62
2019;04;05;01;00;9.99
2019;04;05;02;00;9.34
2019;04;05;03;00;8.67
2019;04;05;04;00;7.91
2019;04;05;05;00;7.21
2019;04;05;06;00;6.47
2019;04;05;07;00;6.59
2019;04;05;08;00;7.87
2019;04;05;09;00;10.02
2019;04;05;10;00;12.32
2019;04;05;11;00;14.45
2019;04;05;12;00;15.85
2019;04;05;13;00;17.13
2019;04;05;14;00;16.64
2019;04;05;15;00;15.36
2019;04;05;16;00;14.03
2019;04;05;17;00;13.53
2019;04;05;18;00;12.17
2019;04;05;19;00;11.86
2019;04;05;20;00;11.62
2019;04;05;21;00;11.37
2019;04;05;22;00;11.29
2019;04;05;23;00;10.90
2019;04;06;00;00;10.67
2019;04;06;01;00;10.66
2019;04;06;02;00;9.48
2019;04;06;03;00;9.04
2019;04;06;04;00;7.87
2019;04;06;05;00;7.36
2019;04;06;06;00;7.25
2019;04;06;07;00;7.16
2019;04;06;08;00;7.36
2019;04;06;09;00;7.33
2019;04;06;10;00;7.73
2019;04;06;11;00;8.98
2019;04;06;12;00;10.63
2019;04;06;13;00;12.32
2019;04;06;14;00;14.43
2019;04;06;15;00;14.65
2019;04;06;16;00;14.64
2019;04;06;17;00;14.46
2019;04;06;18;00;14.07
2019;04;06;19;00;13.43
2019;04;06;20;00;12.31
2019;04;06;21;00;10.88
2019;04;06;22;00;9.66
2019;04;06;23;00;8.48
